,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
13,Sonoma County airport EV-rental plan faces power-supply bottleneck. Fast chargers envisioned for a planned rental-c… https://t.co/vt8f9NDcaM,sonoma county airport ev rental plan faces power supply bottleneck  fast chargers envisioned for a planned rental c   ,0.2,0.6,neutral,0.0,1.0,0.0,0.0
14,"RT @JohnStossel: Inconvenient fact about electric cars #1: 

If you drive it 60,000 miles… you put MORE carbon in the air than a gas powere…", inconvenient fact about electric cars  1    if you drive it 60 000 miles  you put more carbon in the air than a gas powere ,-0.04999999999999999,0.75,negative,0.103,0.897,0.0,-0.34
15,Sonoma County airport EV-rental plan faces power-supply bottleneck - North Bay Business Journal https://t.co/AUDmXkUzSO,sonoma county airport ev rental plan faces power supply bottleneck   north bay business journal  ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
16,Tata Nano rebirth as electric car rumours: What is going on? - https://t.co/EHyhaXGEUv https://t.co/wOy1wsYkhZ,tata nano rebirth as electric car rumours  what is going on       ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
17,@Rogthedodge101 @robsneds @JakeBerry Well apart from the fact that I am tweeting exclusively about how you charge y… https://t.co/qRmY3AqumJ,      well apart from the fact that i am tweeting exclusively about how you charge y   ,0.0,0.0,positive,0.0,0.851,0.149,0.2732
18,Bold Strategy - Ford Tells Electric Truck Owners to Forgo Using the Heater in Winter if They Want Extended Battery… https://t.co/wTsNSv63DQ,bold strategy   ford tells electric truck owners to forgo using the heater in winter if they want extended battery   ,0.3333333333333333,0.6666666666666666,positive,0.0,0.813,0.187,0.4404
19,Charged EVs | Volvo to build electric trucks using fossil-free steel - https://t.co/Z3x8HQgfvu &lt;&lt;&lt; #car #cars #auto… https://t.co/pqxHngyMH5,charged evs   volvo to build electric trucks using fossil free steel      lt  lt  lt   car  cars  auto   ,0.4,0.8,positive,0.09,0.746,0.164,0.3612
20,@MariuszKlocEU @Przemys20985762 @Xx17965797N (So push for more nuclear power plants if you want your electric car to be green!),       so push for more nuclear power plants if you want your electric car to be green  ,0.15,0.4,positive,0.0,0.92,0.08,0.0772
21,@thornoldstone @OderaOne @alexmwanzo Nissan leaf is an electric car wadau. Zero emission logo pale. Hakuka petrol a… https://t.co/yPjAaUykwq,      nissan leaf is an electric car wadau  zero emission logo pale  hakuka petrol a   ,-0.21,0.18,neutral,0.0,1.0,0.0,0.0
23,RT @elainewebster21: Just to highlight again..  @AnasSarwar doesn’t care about the cost of living crisis. His Labour/Tory council @SouthLan…, just to highlight again      doesn t care about the cost of living crisis  his labour tory council   ,0.0,0.0,positive,0.181,0.573,0.247,0.128
24,"Sorry it’s -40 degrees outside, but you can’t use the heater in your $60k electric truck…🥴

https://t.co/vfg9U6FRN7",sorry it s  40 degrees outside  but you can t use the heater in your  60k electric truck     ,-0.25,0.525,negative,0.071,0.929,0.0,-0.0387
25,"Buying an electric car from a car company that still sells gas powered cars,is like being vegan and going to a rest… https://t.co/hxVjJ1McA7",buying an electric car from a car company that still sells gas powered cars is like being vegan and going to a rest   ,0.0,0.0,positive,0.0,0.889,0.111,0.3612
27,🆙date Instagram mutuals 1st time meeting in real life He paid my electric bill Brought a bottle of wine &amp; 🍾🍫 to wat… https://t.co/V9RypMn0Mg, date instagram mutuals 1st time meeting in real life he paid my electric bill brought a bottle of wine  amp     to wat   ,0.2,0.30000000000000004,neutral,0.0,1.0,0.0,0.0
28,"@FoxNews Guessing:  Rooftop solar + batteries, remove gas: furnace, H/W heater, oven and replace with electric vers… https://t.co/LwEo1you0T",  guessing   rooftop solar   batteries  remove gas  furnace  h w heater  oven and replace with electric vers   ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
29,"@Kubas011 @mcwups1 @elonmusk @DriveTeslaca There will be so many options coming.  Speaking of Honda 

https://t.co/fwfPJ3bC1Q",        there will be so many options coming   speaking of honda    ,0.5,0.5,neutral,0.0,1.0,0.0,0.0
30,@MariuszKlocEU @Przemys20985762 @Xx17965797N The great promise of electric cars can only be realized if the *source… https://t.co/5OsmvnehxF,      the great promise of electric cars can only be realized if the  source   ,0.4,0.875,positive,0.0,0.632,0.368,0.7506
31,RT @noamscheiber: NEWS: Workers at a big EV battery factory in Ohio partly owned by GM vote to unionize. Appears to be the first major elec…, news  workers at a big ev battery factory in ohio partly owned by gm vote to unionize  appears to be the first major elec ,0.10416666666666667,0.3111111111111111,neutral,0.0,1.0,0.0,0.0
32,"RT @hiltonholloway: Beyond hilarious. First the EU mandated electric cars without securing the battery materials supply, and now car makers…", beyond hilarious  first the eu mandated electric cars without securing the battery materials supply  and now car makers ,0.375,0.6666666666666666,positive,0.095,0.774,0.131,0.1872
33,"Inspired by @HorrorNails, in a better timeline, Elon discovered the Something Awful forums and ""Hey guys I made an… https://t.co/f4tE7EIujj",inspired by    in a better timeline  elon discovered the something awful forums and  hey guys i made an   ,-0.25,0.75,positive,0.136,0.588,0.276,0.4767
34,"@MariuszKlocEU @Przemys20985762 @Xx17965797N You keep parsing the words.  Electric is ""locally air friendly"", but n… https://t.co/8ZX3gPOcp5",      you keep parsing the words   electric is  locally air friendly   but n   ,0.1875,0.25,positive,0.0,0.826,0.174,0.2732
36,"RT @dailyjobcuts: 🤔 Get Ready for the Endless Subscriptions....
Mercedes to charge electric car drivers $1,200 a year to drive fast
-
https…",   get ready for the endless subscriptions     mercedes to charge electric car drivers  1 200 a year to drive fast   https ,0.09166666666666667,0.6166666666666667,positive,0.0,0.872,0.128,0.3612
38,"RT @josheidelson: “outcome at the plant, owned by General Motors &amp; the South Korean manufacturer LG Energy Solution, appears to create the…",  outcome at the plant  owned by general motors  amp  the south korean manufacturer lg energy solution  appears to create the ,0.05000000000000002,0.5,positive,0.0,0.723,0.277,0.6705
40,"EVs hit 4.7% of Australia yet we still trail the rest of the world. In Norway in November, 81% of all new car sales… https://t.co/DUebC2D4uN",evs hit 4 7  of australia yet we still trail the rest of the world  in norway in november  81  of all new car sales   ,0.13636363636363635,0.45454545454545453,neutral,0.0,1.0,0.0,0.0
42,@teslaownersSV @elonmusk That’s a beautiful car Elon. I doubt I will ever be able to afford an electric car but if… https://t.co/nz5SCGEz53,    that s a beautiful car elon  i doubt i will ever be able to afford an electric car but if   ,0.675,0.8125,positive,0.096,0.769,0.135,0.1779
43,@KateFantom Kate - I will give you that it is likely the second best Electric Car on the road Kate - lol - I know I… https://t.co/3HmjyoITvh,  kate   i will give you that it is likely the second best electric car on the road kate   lol   i know i   ,0.45,0.5,positive,0.0,0.708,0.292,0.7906
46,@sleepydog112 @lavern_spicer @elonmusk I'm sorry but I don't understand your reasoning here. you say Joe Biden want… https://t.co/KcmrU0gMYd,    spicer   i m sorry but i don t understand your reasoning here  you say joe biden want   ,-0.5,1.0,positive,0.085,0.809,0.107,0.0772
49,The joys of owning an electric car 😅 https://t.co/Tku28kBCYs,the joys of owning an electric car    ,0.0,0.0,positive,0.0,0.652,0.348,0.4939
51,@TheeUnwelcomed @DogFacedPonySho @PapiTrumpo Wish I Had A Electric Car!! https://t.co/6Dw0Aokl83,      wish i had a electric car    ,0.0,0.0,positive,0.0,0.526,0.474,0.4019
52,NUST University Students Display An Electric Car That Will Compete In Shell Eco-Marathon Asia 2023. https://t.co/mZoX8bZefq,nust university students display an electric car that will compete in shell eco marathon asia 2023   ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
59,@Hyundai @Motor1com @OlabisiBoyle My Genesis has been at the dealership over 3 months and they have no idea how to… https://t.co/Pb62WkfyNJ,      my genesis has been at the dealership over 3 months and they have no idea how to   ,0.0,0.0,negative,0.128,0.872,0.0,-0.296
60,@MattRoundcount @FoxNews Hell I doubt most of them know what's In a Solar Panel or Electric Car battery. Most of th… https://t.co/xg1j3IkEVM,    hell i doubt most of them know what s in a solar panel or electric car battery  most of th   ,0.5,0.5,negative,0.321,0.679,0.0,-0.7964
61,"RT @drdave1999: Q: Tesla was ranked as having the lowest build quality of any car brand. That should be your #1 focus.

Musk: Why not do th…", q  tesla was ranked as having the lowest build quality of any car brand  that should be your  1 focus   musk  why not do th ,0.0,0.0,negative,0.106,0.894,0.0,-0.3818
62,@elonmusk The #ECB European Central Bank is killing me... So impossible to compare an electric car,  the  ecb european central bank is killing me    so impossible to compare an electric car,-0.2222222222222222,0.4166666666666667,negative,0.239,0.761,0.0,-0.6597
64,"RT @skodaautonews: When photographing the Orionid meteor shower, Czech 🇨🇿 astrophotographer Petr Horálek was assisted by his #electric #Sko…", when photographing the orionid meteor shower  czech    astrophotographer petr hor lek was assisted by his  electric  sko ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
65,"RT @FatKidDeals: Electric USPS Mail Carrier Car for $163.49! (Retail $320)

https://t.co/9JSxHjMvnQ https://t.co/fV63WF1DQ9", electric usps mail carrier car for  163 49   retail  320      ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
66,@WestleyBenn @94_bastard @RealWindows95 @SajdaMughal or left wing terrorism is the fact they glue themselves and th… https://t.co/JBWTak9rkw,    bastard     or left wing terrorism is the fact they glue themselves and th   ,0.0,0.0,negative,0.424,0.576,0.0,-0.8442
67,I wonder how you drive an electric car in the snow and ice? With a manual you can stick it in a higher gear to pull… https://t.co/2Behz9Mwh6,i wonder how you drive an electric car in the snow and ice  with a manual you can stick it in a higher gear to pull   ,0.25,0.5,neutral,0.0,1.0,0.0,0.0
70,"The number of electric cars on American roads continues to grow, but most car companies are concentrating on increa… https://t.co/mzSNEF6QIu",the number of electric cars on american roads continues to grow  but most car companies are concentrating on increa   ,0.25,0.25,positive,0.0,0.94,0.06,0.0387
71,"Trouble with Electric Cars ?
Is HOW you get them Charged Up....
A 350-400 mile range, and how quick to ""Refuel""
Pow… https://t.co/KjBYLzThjg",trouble with electric cars   is how you get them charged up     a 350 400 mile range  and how quick to  refuel  pow   ,0.06666666666666665,0.35,negative,0.191,0.809,0.0,-0.5423
72,.@chevrolet this is waste of time and money. No one is gonna buy a hybrid not even those that are so into gas-power… https://t.co/v3Xs6fgRZp,   this is waste of time and money  no one is gonna buy a hybrid not even those that are so into gas power   ,-0.2,0.0,negative,0.2,0.8,0.0,-0.6124
73,RT @Quicktake: Tesla will suspend output in stages at its Shanghai electric car factory from the end of the month possibly until early Janu…, tesla will suspend output in stages at its shanghai electric car factory from the end of the month possibly until early janu ,0.05,0.65,negative,0.099,0.901,0.0,-0.3182
78,Tesla will suspend output in stages at its Shanghai electric car factory from the end of the month possibly until e… https://t.co/Os1rCXlD0o,tesla will suspend output in stages at its shanghai electric car factory from the end of the month possibly until e   ,0.0,1.0,negative,0.108,0.892,0.0,-0.3182
79,BIG WIN for the @UAW! https://t.co/ni8vP9qQgY,big win for the     ,0.4,0.25,positive,0.0,0.441,0.559,0.5859
80,"Am I missing something here with the push for us all to go to electric cars.  I mean, energy prices are so expensiv… https://t.co/k6GzLjrFxN",am i missing something here with the push for us all to go to electric cars   i mean  energy prices are so expensiv   ,-0.25625,0.36875,negative,0.094,0.815,0.09,-0.0258
82,"Joys of owning an electric car.
The cost was $0.00 for adding 4.606 kWh. Your vehicle was unplugged and your charging has stopped.",joys of owning an electric car  the cost was  0 00 for adding 4 606 kwh  your vehicle was unplugged and your charging has stopped ,0.0,0.0,positive,0.073,0.805,0.123,0.3182
83,"A plug in hybrid with a small battery that can power a car for 30 miles has to be driven 80,000 miles to break even… https://t.co/AiyPCiiBYG",a plug in hybrid with a small battery that can power a car for 30 miles has to be driven 80 000 miles to break even   ,-0.25,0.4,neutral,0.0,1.0,0.0,0.0
86,"@marcje74 @AlieTwit @NOS Single person maybe, but with 2 kids and an electric car - it’s closer to 6000kWh and 1700… https://t.co/ozgrTDPCxt",      single person maybe  but with 2 kids and an electric car   it s closer to 6000kwh and 1700   ,-0.07142857142857142,0.21428571428571427,neutral,0.0,1.0,0.0,0.0
88,@elonmusk @unusual_whales I think hes less than spotless. But I dont know either of you. I know at one point it see… https://t.co/kz6Ehzs4O2,    whales i think hes less than spotless  but i dont know either of you  i know at one point it see   ,-0.16666666666666666,0.06666666666666667,neutral,0.0,1.0,0.0,0.0
92,@maemurrayxo Bought an electric car?!?!?!,  bought an electric car      ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
93,"RT @stevema67740989: @RogNClarke I parked at the Tove short stay car park. Northampton Road. Towcester. NN12 6LD. Mon-Fri 08:00 - 18:00
Max…",   i parked at the tove short stay car park  northampton road  towcester  nn12 6ld  mon fri 08 00   18 00 max ,0.0,0.3,neutral,0.0,1.0,0.0,0.0
94,Twin Cities electric vehicle car-share program finds success | Energy News Network https://t.co/zWsyOjPHFj ^ci,twin cities electric vehicle car share program finds success   energy news network    ci,0.3,0.0,positive,0.0,0.556,0.444,0.7906
95,"90% off
Use code EC9DPVFM.
Remote Control Car 2.4GHz Electric Race Stunt Car, Double Sided 360° Rolling Rotating Ro… https://t.co/KZp0ilWCuB",90  off use code ec9dpvfm  remote control car 2 4ghz electric race stunt car  double sided 360  rolling rotating ro   ,-0.05,0.1,neutral,0.0,1.0,0.0,0.0
96,Of course it is ok for children to work in lithium mines for the benefit of Gaz to drive his electric car. https://t.co/G9BRgp674k,of course it is ok for children to work in lithium mines for the benefit of gaz to drive his electric car   ,0.5,0.5,positive,0.0,0.794,0.206,0.6369
97,@GaryLineker You'd rather children were mining cobalt for electric car batteries? You truly are a 🛎end,  you d rather children were mining cobalt for electric car batteries  you truly are a  end,0.0,0.0,positive,0.0,0.818,0.182,0.4404
98,@RogNClarke I parked at the Tove short stay car park. Northampton Road. Towcester. NN12 6LD. Mon-Fri 08:00 - 18:00… https://t.co/pvipVFMJks,  i parked at the tove short stay car park  northampton road  towcester  nn12 6ld  mon fri 08 00   18 00   ,0.0,0.3,neutral,0.0,1.0,0.0,0.0
99,Getting shoppers to understand total cost of ownership is essential for electric vehicles to grow beyond early adop… https://t.co/LV1KIkhmwD,getting shoppers to understand total cost of ownership is essential for electric vehicles to grow beyond early adop   ,0.03333333333333333,0.45,neutral,0.0,1.0,0.0,0.0
101,I hope we get this little #EV in the US: Volvo EX30 city car to launch next year as entry model - Autoblog https://t.co/s6nNBLvsGm,i hope we get this little  ev in the us  volvo ex30 city car to launch next year as entry model   autoblog  ,-0.09375,0.25,positive,0.0,0.873,0.127,0.4404
103,Why I regret buying an electric car https://t.co/urVDzA5Fh6 via @spectator,why i regret buying an electric car   via  ,0.0,0.0,negative,0.318,0.682,0.0,-0.4215
104,@GaryLineker But children working in lithium mines for your electric car is fine? Wobble.,  but children working in lithium mines for your electric car is fine  wobble ,0.4166666666666667,0.5,positive,0.0,0.845,0.155,0.296
106,@keselowski @elonmusk .@tesla confirmed as first electric car entry in #NASCAR for #RFK 🙄😁,       confirmed as first electric car entry in  nascar for  rfk   ,0.325,0.6666666666666666,neutral,0.0,1.0,0.0,0.0
107,@libertycappy An electric car produces a larger carbon footprint before it is driven the first time than a gas powe… https://t.co/4DJ4IpgfEm,  an electric car produces a larger carbon footprint before it is driven the first time than a gas powe   ,0.125,0.41666666666666663,neutral,0.0,1.0,0.0,0.0
109,"RT @evomagazine: Lexus is developing a manual transmission for electric cars, and here's a first look at a working prototype. Is this the f…", lexus is developing a manual transmission for electric cars  and here s a first look at a working prototype  is this the f ,0.25,0.3333333333333333,neutral,0.0,1.0,0.0,0.0
110,"@marcje74 @NOS It’s really not, if you have a home charger for your electric car - even with solar panels you use 3… https://t.co/8ZcaILdc6g",    it s really not  if you have a home charger for your electric car   even with solar panels you use 3   ,-0.1,0.2,neutral,0.0,1.0,0.0,0.0
111,@NEWSMAX He should buy an electric car,  he should buy an electric car,0.0,0.0,neutral,0.0,1.0,0.0,0.0
112,"Electric car sales drive toward cleaner air, less mortality
https://t.co/3kgIZJEVOh
Article URL:… https://t.co/RLdxTPRP7k",electric car sales drive toward cleaner air  less mortality   article url    ,-0.16666666666666666,0.06666666666666667,positive,0.0,0.855,0.145,0.1779
113,https://t.co/L6FA18tv0W, ,0.0,0.0,neutral,0.0,0.0,0.0,0.0
114,"@MKBHD @tim_cook Apple is decades away of any thing close to an electric car!
Unless they buy one of them!",    cook apple is decades away of any thing close to an electric car  unless they buy one of them ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
115,Top EU official quits US meeting as tension over electric car subsidies persists https://t.co/RgDWLnfBWa https://t.co/QAoLK8vOpj,top eu official quits us meeting as tension over electric car subsidies persists    ,0.5,0.5,negative,0.152,0.728,0.119,-0.128
117,@Bullittv8 I don’t want an electric car. It’s not feasible for my lifestyle. Too cold. They do not work.,  i don t want an electric car  it s not feasible for my lifestyle  too cold  they do not work ,-0.6,1.0,positive,0.0,0.925,0.075,0.0772
118,RT @therealautoblog: Volvo EX30 city car to launch next year as entry model https://t.co/8iVcf4rzkI https://t.co/vGfKaeGG4M, volvo ex30 city car to launch next year as entry model    ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
122,RT @MikeHudema: This electric car was built in 1912 and got a #solar power upgrade in 1960. It isn't for lack of solutions that we haven't…, this electric car was built in 1912 and got a  solar power upgrade in 1960  it isn t for lack of solutions that we haven t ,0.0,0.0,negative,0.092,0.84,0.068,-0.1531
124,"RT @BikeBikeYYC: Ditch the expensive second car and add an electric #cargobike to your household transport matrix.

Save money and transfor…", ditch the expensive second car and add an electric  cargobike to your household transport matrix   save money and transfor ,-0.25,0.35,positive,0.0,0.849,0.151,0.4939
130,RT @copenhenken: Car manufacturer @PolestarCars moves into e-bikes.  “I’m absolutely for the plurality of mobility ... I love to own a car.…, car manufacturer   moves into e bikes    i m absolutely for the plurality of mobility     i love to own a car  ,0.4333333333333333,0.8333333333333334,positive,0.0,0.769,0.231,0.6369
131,"@19tezza51 @jumpingjogo @JeremyVineOn5 they have familys to feed, uniforms to buy, school dinners to pay for, rent/… https://t.co/FIKNEuZUXJ",      they have familys to feed  uniforms to buy  school dinners to pay for  rent    ,0.0,0.0,negative,0.097,0.903,0.0,-0.1027
132,@davidfirn @robsneds @JakeBerry And you are ignoring the obvious issues around charging an electric car without you… https://t.co/AG0pa0gGQj,      and you are ignoring the obvious issues around charging an electric car without you   ,0.0,0.5,negative,0.172,0.828,0.0,-0.4019
134,@AdultSippyCup @JoshuaPHilll Yeah what part of what I said disagrees with that? Yeah if a Tesla catches fire you ha… https://t.co/faNrKbqeeT,    yeah what part of what i said disagrees with that  yeah if a tesla catches fire you ha   ,0.0,0.0,positive,0.209,0.489,0.302,0.2732
136,@Noname117S @black92rs74 @Max59295543 @thunderf00t @littlebluena Also fsd and robotaxis is not the only deception t… https://t.co/5CZLoMyDAF,          also fsd and robotaxis is not the only deception t   ,0.0,1.0,positive,0.0,0.769,0.231,0.3412
137,Buy an electric car and de-ice it remotely? https://t.co/Gy3kjJau8a,buy an electric car and de ice it remotely   ,-0.1,0.2,neutral,0.0,1.0,0.0,0.0
139,"Electric USPS Mail Carrier Car for $163.49! (Retail $320)

https://t.co/9JSxHjMvnQ https://t.co/fV63WF1DQ9",electric usps mail carrier car for  163 49   retail  320      ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
140,"Lamborghini Sian 2022
#lamborghini #lamborghinisian #hypercar #lambo 

The Sián FKP 37 is the first super sports ca… https://t.co/BDAfAOx8aD",lamborghini sian 2022  lamborghini  lamborghinisian  hypercar  lambo   the si n fkp 37 is the first super sports ca   ,0.29166666666666663,0.5,positive,0.0,0.804,0.196,0.5994
141,@TGE_LDNM @eu_bike @d_vwatts @Tesla @elonmusk Ive never driven an electric car... unless you count the RC toys we a… https://t.co/YrC3c0rLwK,  ldnm   bike   vwatts     ive never driven an electric car    unless you count the rc toys we a   ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
143,"GM dealers plan to add 40,000 new public EV chargers, accessible to owners of electric cars from every brand, the c… https://t.co/71nrPidNLS",gm dealers plan to add 40 000 new public ev chargers  accessible to owners of electric cars from every brand  the c   ,0.17045454545454544,0.29873737373737375,neutral,0.0,1.0,0.0,0.0
145,Run for Your Life and Precisionism: Towards a Dialectology of The Electric Car,run for your life and precisionism  towards a dialectology of the electric car,0.0,0.0,neutral,0.0,1.0,0.0,0.0
146,RT @hausfath: You can see a similar analysis my @CarbonBrief  colleague @DrSimEvans did looking at the UK (and comparing a Nisan Leaf to a…, you can see a similar analysis my    colleague   did looking at the uk  and comparing a nisan leaf to a ,0.0,0.4,neutral,0.0,1.0,0.0,0.0
149,"@PinkCarrots2 like sure they look sleek but if uve ever taken a closer look, the craftsmanship is just not there. v… https://t.co/5t81q7bUKx",  like sure they look sleek but if uve ever taken a closer look  the craftsmanship is just not there  v   ,0.5,0.8888888888888888,positive,0.0,0.825,0.175,0.34
150,Volvo EX30 city car to launch next year as entry model https://t.co/yrNfoRiAik https://t.co/WuQt8rqMW7,volvo ex30 city car to launch next year as entry model    ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
151,"@Shamerrrrr @Electric_Forest I know, and I get the safety side of it too. But that eliminates the freedom of having… https://t.co/1oTA47OyG2",    forest i know  and i get the safety side of it too  but that eliminates the freedom of having   ,0.0,0.0,positive,0.0,0.661,0.339,0.8271
152,"RT @otometre1: Elektrikli otomobiller, araçlar yasaklanabilir
https://t.co/9PG5MKi3je
#elektrik #electric #e #ev #bev #ecar #oto #otomobil…", elektrikli otomobiller  ara lar yasaklanabilir    elektrik  electric  e  ev  bev  ecar  oto  otomobil ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
154,Buying a new car on Jan. Going electric. Anyone with advice or reconditions?,buying a new car on jan  going electric  anyone with advice or reconditions ,0.13636363636363635,0.45454545454545453,neutral,0.0,1.0,0.0,0.0
155,"Ditch the expensive second car and add an electric #cargobike to your household transport matrix.

Save money and t… https://t.co/abA31zmDmz",ditch the expensive second car and add an electric  cargobike to your household transport matrix   save money and t   ,-0.25,0.35,positive,0.0,0.842,0.158,0.4939
156,"Elektrikli otomobiller, araçlar yasaklanabilir
https://t.co/9PG5MKi3je
#elektrik #electric #e #ev #bev #ecar #oto… https://t.co/Naods3BHcn",elektrikli otomobiller  ara lar yasaklanabilir    elektrik  electric  e  ev  bev  ecar  oto   ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
158,"RT @alearesu: L'appassionante evoluzione delle filiere del mio libro ""Il dominio del XXI secolo"". Da un lato TSMC e la (relativa) diversifi…", l appassionante evoluzione delle filiere del mio libro  il dominio del xxi secolo   da un lato tsmc e la  relativa  diversifi ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
160,@Partyindacorn11 🤣🤣🤣 I would go without anybody before I went up with a guy with an electric car. Bahaha,      i would go without anybody before i went up with a guy with an electric car  bahaha,0.0,0.0,neutral,0.0,1.0,0.0,0.0
161,https://t.co/7clFyvJ1fG, ,0.0,0.0,neutral,0.0,0.0,0.0,0.0
162,@DoctorAjayita Ok pointers... when a car is lightening struck with closed windows that basically makes it a capacit… https://t.co/tnmSSUNHyJ,  ok pointers    when a car is lightening struck with closed windows that basically makes it a capacit   ,0.2,0.3,positive,0.116,0.756,0.128,0.0516
164,@DeborahMeaden Ok mining your Lithium for your electric car  battery though Debs? Or does that not count? #doublestandards,  ok mining your lithium for your electric car  battery though debs  or does that not count   doublestandards,0.5,0.5,positive,0.0,0.879,0.121,0.296
165,We attended @WICleanCities' annual meeting at the The Automobile Gallery &amp; Event Center and checked out one of the… https://t.co/sJh92Ue4TD,we attended    annual meeting at the the automobile gallery  amp  event center and checked out one of the   ,-0.1,0.1,neutral,0.0,1.0,0.0,0.0
168,@Electric_Forest Wednesday early arrival was sold out for maplewoods on Thursday. So no car passes available or ear… https://t.co/ZWaljjz5gt,  forest wednesday early arrival was sold out for maplewoods on thursday  so no car passes available or ear   ,0.25,0.35,negative,0.144,0.856,0.0,-0.4341
170,"RT @TechXplore_com: Electric car sales drive toward cleaner air, less mortality @cornell https://t.co/Sh2Fg8lG7E https://t.co/otFtDwwInY", electric car sales drive toward cleaner air  less mortality      ,-0.16666666666666666,0.06666666666666667,positive,0.0,0.825,0.175,0.1779
171,@IanCockerill2 @SamLowryEsq You will no longer protest - you will not say something the government deems offensive… https://t.co/r7Ja1l8wub,    you will no longer protest   you will not say something the government deems offensive   ,0.0,0.0,negative,0.396,0.604,0.0,-0.7351
174,"@Partyindacorn11 Lol, I would never go put with a guy who has an electric car . Just a meme .",  lol  i would never go put with a guy who has an electric car   just a meme  ,0.8,0.7,positive,0.0,0.823,0.177,0.4215
176,"At GTS, we keep up on the latest innovations in mobility. Here’s a sampling of what’s going on in Smart Mobility th… https://t.co/wPEv2gIZag",at gts  we keep up on the latest innovations in mobility  here s a sampling of what s going on in smart mobility th   ,0.35714285714285715,0.7714285714285715,positive,0.0,0.881,0.119,0.4019
178,Not panicking gave me the karma to get my tickets. I forgot to get my car pass...I assume I can buy at any time?… https://t.co/8hjhp2jyUc,not panicking gave me the karma to get my tickets  i forgot to get my car pass   i assume i can buy at any time    ,0.0,0.0,positive,0.0,0.897,0.103,0.3412
