,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
45,Tesla Model S and X Plaid arrive in Germany for first deliveries https://t.co/rZrIFecRYs https://t.co/IVZKtxJm3C,tesla model s and x plaid arrive in germany for first deliveries    ,0.25,0.3333333333333333,neutral,0.0,1.0,0.0,0.0
47,RT @foroelectricos: Las impresionantes cifras de eficiencia del #Tesla #Semi https://t.co/mxGoy30fYS, las impresionantes cifras de eficiencia del  tesla  semi  ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
48,"@stevenmarkryan Now everyone is getting nervous, but it is clear that the share is worth at least 20 times as much.… https://t.co/7821Ky3D4k",  now everyone is getting nervous  but it is clear that the share is worth at least 20 times as much    ,0.07500000000000001,0.2708333333333333,positive,0.059,0.613,0.328,0.7906
49,"RT @MehmetGurbuzOrg: Tesla bize, biz Elbistan’a hayran😌

Kurduğumuz Güneş Enerji Sistemi ile 2 yılda 1milyon 80bin KW elektrik üretip 4.8 M…", tesla bize  biz elbistan a hayran   kurdu umuz g ne  enerji sistemi ile 2 y lda 1milyon 80bin kw elektrik  retip 4 8 m ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
50,"In the previous month, #RashidRover was incorporated into the lander, and the whole package was scheduled to be sen… https://t.co/DeXqCViGoH",in the previous month   rashidrover was incorporated into the lander  and the whole package was scheduled to be sen   ,0.016666666666666677,0.2833333333333333,neutral,0.0,1.0,0.0,0.0
51,@Tesla So I’ve been sold a car by Tesla that I can’t insure. No insurance company knows about Y RWD. Not even Tesla Insurance.,  so i ve been sold a car by tesla that i can t insure  no insurance company knows about y rwd  not even tesla insurance ,0.0,0.0,negative,0.104,0.896,0.0,-0.296
53,Tesla Cybertruck body spotted ahead of production start  https://t.co/bEo4z5unOo,tesla cybertruck body spotted ahead of production start   ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
54,"RT @eStream_Studios: #Tesla #ElonMusk Apple Music is coming to Teslas soon, report claims: Tesla might be working on a holiday update for i…",  tesla  elonmusk apple music is coming to teslas soon  report claims  tesla might be working on a holiday update for i ,0.0,0.0,positive,0.0,0.87,0.13,0.4019
55,RT @ElonMuskNewsOrg: Tesla CEO Elon Musk arrives in Berlin for meeting with German Economy Minister  https://t.co/xXUdaN4Pfm, tesla ceo elon musk arrives in berlin for meeting with german economy minister   ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
56,@JakeSucky Elon saw that she got a lambo instead of a tesla and chose violence 💀 nah but seriously nowadays its clo… https://t.co/O57YmvWnGf,  elon saw that she got a lambo instead of a tesla and chose violence   nah but seriously nowadays its clo   ,-0.3333333333333333,0.6666666666666666,negative,0.279,0.721,0.0,-0.5859
57,"RT @spin9: เปิดราคา Tesla อย่างเป็นทางการในไทย

Model 3
Standard — 1,759,000
Long Range — 1,999,000
Performance — 2,309,000

Model Y
Standa…",          tesla                       model 3 standard   1 759 000 long range   1 999 000 performance   2 309 000  model y standa ,-0.025,0.2,neutral,0.0,1.0,0.0,0.0
59,"RT @TOrynski: I am watching a movie clips about @elonmusk's Tesla Semi - remember, the truck that was to revolutionize the transport indust…", i am watching a movie clips about   s tesla semi   remember  the truck that was to revolutionize the transport indust ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
60,"RT @hikingskiing: Don’t let people pollute your mind with what $TSLA will or won’t do over the next week, month, or year. Keep your eyes on…", don t let people pollute your mind with what  tsla will or won t do over the next week  month  or year  keep your eyes on ,0.0,0.0,positive,0.114,0.759,0.128,0.1027
61,RT @amandarivkin: Elon Musk could lose world’s richest person title as Tesla value almost halves https://t.co/TzYE8dQMOH, elon musk could lose world s richest person title as tesla value almost halves  ,0.0,0.0,positive,0.146,0.541,0.314,0.4767
63,"@mrdemmendaal https://t.co/fo9q4Wujeg gaat de goede kant op...
Misschien #Twitter binnenkort te koop van EM voor 10… https://t.co/lW4tqQjCDE",    gaat de goede kant op    misschien  twitter binnenkort te koop van em voor 10   ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
64,BYD wasn’t the only EV maker seeing a rise in sales in November. Tesla’s retail sales that month also nearly double… https://t.co/ggyFbgJrD0,byd wasn t the only ev maker seeing a rise in sales in november  tesla s retail sales that month also nearly double   ,0.0,0.5,neutral,0.0,1.0,0.0,0.0
65,@elonmusk make Tesla cars affordable pls!,  make tesla cars affordable pls ,0.0,0.0,positive,0.0,0.755,0.245,0.0772
66,Leo Koguan: Der heimliche Tesla-Milliardär https://t.co/69p3Togu8H via @manager_magazin,leo koguan  der heimliche tesla milliard r   via   magazin,0.0,0.0,neutral,0.0,1.0,0.0,0.0
67,"RT @tim_zaman: The ""Tesla Autopilot"" team is basically the ""Tesla AI"" team these days, given cross pollination and synergy between differen…", the  tesla autopilot  team is basically the  tesla ai  team these days  given cross pollination and synergy between differen ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
68,"RT @teslamotorsjp: クリスマスまであと少し
みんながワクワクするプレゼントをテスラに乗りながら考えてみませんか？

日本橋高島屋
12/13（水）まで🎅
https://t.co/GacrhV5TVD https://t.co/FzNbB7skz3",                                                        12 13          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
69,RT @elonmusk: @POTUS Or you can just buy a Tesla,   or you can just buy a tesla,0.0,0.0,neutral,0.0,1.0,0.0,0.0
71,@Tesla 😭😩,    ,0.0,0.0,neutral,0.0,0.0,0.0,0.0
72,@MaudBregeon @BrunoLeMaire Sans oublier les Tours Tesla qui sont en grand nombre 😉,    sans oublier les tours tesla qui sont en grand nombre  ,0.5,1.0,positive,0.0,0.75,0.25,0.4588
74,"RT @TOrynski: P.P.P.S. And this design - central drivng position, entry from the back - is not even new or an original idea. Here is a Cola…", p p p s  and this design   central drivng position  entry from the back   is not even new or an original idea  here is a cola ,0.1278409090909091,0.36363636363636365,positive,0.0,0.897,0.103,0.3182
75,RT @julianibarz: Our TeslaBot team at Tesla is hiring across many disciplines! If you want to work with me on teaching humanoid robots to d…, our teslabot team at tesla is hiring across many disciplines  if you want to work with me on teaching humanoid robots to d ,0.5,0.5,positive,0.0,0.942,0.058,0.0772
76,@proftrader12 @kuvelenezz A man of many talents https://t.co/VvkaNLf6BY,    a man of many talents  ,0.5,0.5,positive,0.0,0.5,0.5,0.4588
77,"Save Twitter won't kill Tesla, but why sacrifice its stock? wonders @VickiBryanBondA on @businessinsider. One thing… https://t.co/mM1Xh2lHUN",save twitter won t kill tesla  but why sacrifice its stock  wonders   on    one thing   ,0.0,0.0,positive,0.156,0.601,0.243,0.1531
78,"@FoxNews @elonmusk With Tesla shares tanking, lost 55% of their value with one year, doesn't that tell the world Mu… https://t.co/VVL1k6nw5L",    with tesla shares tanking  lost 55  of their value with one year  doesn t that tell the world mu   ,0.0,0.0,positive,0.105,0.685,0.21,0.3182
80,@RubenRamchurn @assimil8or @Tesla 🤣🤣🤣,         ,0.0,0.0,neutral,0.0,0.0,0.0,0.0
81,"RT @passthebeano: Tesla Crashes Into the Back of a Bus in York

$TSLA $TSLAQ 
@nealboudette @russ1mitchell
 https://t.co/juybEltFV8", tesla crashes into the back of a bus in york   tsla  tslaq        ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
82,@TEnthousiaste Est-ce que tu vas la ramener chez tesla pour un diagnostic complet pour cette année ?,  est ce que tu vas la ramener chez tesla pour un diagnostic complet pour cette ann e  ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
83,@sydney_ev All @Tesla cars have a substantial tow hook included which would be more than adequate to give it a heft… https://t.co/QULJ5glv22,  ev all   cars have a substantial tow hook included which would be more than adequate to give it a heft   ,0.41666666666666663,0.41666666666666663,positive,0.0,0.801,0.199,0.4549
84,"@ynakamuu 決断が早いっすね！素敵です✨
航続距離が短いRWDで電費改善は魅力的ですよね",                        rwd             ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
85,"RT @lc28467239: ✅ กดรีทวิต  กดติดตาม หัวใจ ❤️
คอมเม้น  
@LucaBet_123Plus

 อยากได้กดเลยงับ
       👇👇👇
https://t.co/ssT9UUUtCy

#เครดิตฟรี #…",                                           123plus                                              ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
86,Tesla prépare le retour d’une fonctionnalité indispensable avec sa mise à jour de Noël &gt;&gt; Frandroid &lt;&lt; https://t.co/S4URDEL84N,tesla pr pare le retour d une fonctionnalit  indispensable avec sa mise   jour de no l  gt  gt  frandroid  lt  lt   ,0.4,0.9,positive,0.098,0.714,0.188,0.25
87,@CryptoNoob_1 @Washigorira #EVENT https://t.co/Au0VE1orFV,  1    event  ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
88,🤮🤮🤮🤮🤮🫣🫣🫣🫣🤢🤢🤢🤢🤮🤮🤮🤮🤮🤮🤮😵😵😵🙀🙀🙀😵‍💫😵‍💫😵‍💫😱😱😱😩😩😩😵‍💫😵‍💫😵‍💫🥴🥴🥴🥴🥴🥴🥴🥴DEPP!!!! https://t.co/mIoOVggJKq,                                                          depp      ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
89,"The electric truck saga continues 

Tesla Semi: Was I wrong? (Responding to you.) | Auto Expert John Cadogan… https://t.co/Vz5GlCbFM7",the electric truck saga continues   tesla semi  was i wrong   responding to you     auto expert john cadogan   ,-0.5,0.9,negative,0.171,0.829,0.0,-0.4767
90,@ShinTesla 別のところがあるなら切ってもいいんじゃ無いです😀,                          ,0.0,0.0,neutral,0.0,0.0,0.0,0.0
91,@HASOsyalmedya @1Lady_Crypto #FACT https://t.co/fKeOzfjSjn,    crypto  fact  ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
93,Tesla Shows Strength Versus S&amp;P 500 Ahead Of Fed Interest Rate Decision: What's Happening? $TSLA $AMZN https://t.co/i2Oi0y7yKw via @Benzinga,tesla shows strength versus s amp p 500 ahead of fed interest rate decision  what s happening   tsla  amzn   via  ,0.0,0.0,positive,0.0,0.708,0.292,0.7351
94,@EdHand89 I don't see the Nimmo contract working out well for the Mets. I think he was overvalued bc of the lack of… https://t.co/Vd0UP136Ye,  i don t see the nimmo contract working out well for the mets  i think he was overvalued bc of the lack of   ,0.0,0.0,negative,0.103,0.804,0.094,-0.0516
96,"Elon Musk has a recession warning Tesla CEO and Twitter owner Elon Musk has a recession warning. In a tweet, Musk w… https://t.co/RV12kqcK56",elon musk has a recession warning tesla ceo and twitter owner elon musk has a recession warning  in a tweet  musk w   ,0.0,0.0,negative,0.426,0.574,0.0,-0.8555
97,"@ima__tito @FalmouthSeaside @superdraffy Possible but, you included the expression 'liked the look of it'. We're ta… https://t.co/IYK2lBXbRa",   tito     possible but  you included the expression  liked the look of it   we re ta   ,0.3,0.9,positive,0.0,0.791,0.209,0.5719
98,"RT @zhuanfgghjnb: 期货锦标赛 ！🎄 🎁 🏎 

波场 @Poloniex 合约交易大赛 !

瓜分1,000,000 USDT，赢玛莎拉蒂豪车大奖！

注册赢取#Maserati 🔱 #Tesla 🚗 #iPhone 📱

点击报名👉 https://t.co…",                                 1 000 000 usdt                  maserati    tesla    iphone           ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
99,"@Tesla @elonmusk Awesome.
More batteries means a lot of new jobs in Africa. 👍 https://t.co/0HI61unAKH",    awesome  more batteries means a lot of new jobs in africa     ,0.5454545454545454,0.6515151515151515,positive,0.0,0.687,0.313,0.6249
102,RT @imPenny2x: Hot or not? Imaginary Tesla Model S made of Pennies. https://t.co/lfbfg8DbAl, hot or not  imaginary tesla model s made of pennies   ,0.25,0.8500000000000001,neutral,0.0,1.0,0.0,0.0
103,"Biden Almost Crashed GM's New Vehicle https://t.co/nByaJy3WVL via @YouTube
#GM #tesla buy a Tesla",biden almost crashed gm s new vehicle   via    gm  tesla buy a tesla,0.13636363636363635,0.45454545454545453,neutral,0.0,1.0,0.0,0.0
104,"Tesla Sales of Chinese-Made Cars Hit Record, as Nation's Auto Market Shrinks.China’s overall November car sales slu… https://t.co/Y3tBPITDrR",tesla sales of chinese made cars hit record  as nation s auto market shrinks china s overall november car sales slu   ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
105,"Not even at Tesla Charging Stations? Really? Bc I bet you stop at those Stations! Come on I know you would, especia… https://t.co/7idlB1W0Mv",not even at tesla charging stations  really  bc i bet you stop at those stations  come on i know you would  especia   ,0.2,0.2,negative,0.104,0.896,0.0,-0.296
106,@ev_tesla_sc 3rdパーティのpartsと言っても、中国で生産される純正が横に外れて売られてること多いので、フィット感向上の人柱報告は貴重です。期待してます。,  tesla sc 3rd     parts                                                           ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
108,"RT @Rachane67881602: 📌กดรีทวิต🔁กดติดตาม♻️หัวใจ ❤️

คอมเม้น  @LucaBet_123Plus
 อยากได้กดเลยงับ
       👇👇👇
https://t.co/lf4822wN0S

#เครดิตฟ…",                                          123plus                                         ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
110,"RT @leirecisneros: @unchinodechina @Rita_Maestre La España de las castas, los del Seat Ibiza diesel de 20 años y los del Tesla eléctrico re…",     maestre la espa a de las castas  los del seat ibiza diesel de 20 a os y los del tesla el ctrico re ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
111,@HydraMuller @JasonBassler1 Not exactly the robot was designs by other people and not related to Tesla at all.,    not exactly the robot was designs by other people and not related to tesla at all ,-0.08333333333333333,0.3416666666666666,neutral,0.0,1.0,0.0,0.0
112,"@tesla_shonan ありがとうございます❣️
YouTuberパイセンにほめられてうれC
ミヤタさんのインタビューもぜひよろしくお願いします！",  shonan              youtuber            c                           ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
113,Who's this elon musk 🤣love you @elonmusk @Tesla https://t.co/WP9SfMcXPm,who s this elon musk  love you      ,0.5,0.6,positive,0.0,0.543,0.457,0.6369
114,"RT @avayonce: You may be old , but are you this old ? https://t.co/Tx2428N1XD", you may be old   but are you this old    ,0.1,0.2,neutral,0.0,1.0,0.0,0.0
118,RT @porelcule: @Rita_Maestre Es una vergüenza Rita. Cuando tu seas alcaldesa solo vamos a permitir que entren furgonetas de Tesla a reparti…,   maestre es una verg enza rita  cuando tu seas alcaldesa solo vamos a permitir que entren furgonetas de tesla a reparti ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
119,"Tesla Shanghai CIERRA!
https://t.co/2Ay4BwX0xR https://t.co/NarCYtC3ho",tesla shanghai cierra     ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
120,https://t.co/SHqdpbxsro : 4327e755-032b-4be5-93b0-85bfa61f5086,    4327e755 032b 4be5 93b0 85bfa61f5086,0.0,0.0,neutral,0.0,1.0,0.0,0.0
121,"@ynakamuu @tesla_shonan そんなYouTuberの女を見つけました❗️
TOYOTA vs テスラ",    shonan    youtuber            toyota vs    ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
122,"RT @TOrynski: in front of driver's seat gets dirty. You can kick your boots off there and then walk around the rest of the cab barefoot, as…", in front of driver s seat gets dirty  you can kick your boots off there and then walk around the rest of the cab barefoot  as ,-0.6,0.8,negative,0.108,0.892,0.0,-0.4404
123,@BitrueOfficial This is amazing! Look at https://t.co/IIhZnRPzDs,  this is amazing  look at  ,0.6000000000000001,0.9,positive,0.0,0.513,0.487,0.5859
125,"@elonmusk @elonmusk
Switzerland wants to ban Tesla!

AND WHAT ARE WE ALL GOING TO DO WITH IT NOW!?
https://t.co/5H9kUH1gy0",    switzerland wants to ban tesla   and what are we all going to do with it now    ,0.2,0.1,negative,0.194,0.806,0.0,-0.5574
127,"#ElonMusk. Te suena su nombre, ¿verdad? ¿Conocías su relación con #Tesla antes de su polémica como nuevo CEO de… https://t.co/N4A94pxab8", elonmusk  te suena su nombre   verdad   conoc as su relaci n con  tesla antes de su pol mica como nuevo ceo de   ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
128,RT @glideoutside: The ⁦@Tesla⁩ #cybertruck casting is a BEAST! $tsla https://t.co/W2UlrsLVN1, the      cybertruck casting is a beast   tsla  ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
129,@WallStreetSilv Nice than last one https://t.co/NcCJoxOPek,  nice than last one  ,0.3,0.5333333333333333,positive,0.0,0.517,0.483,0.4215
130,RT @Auto_Porn: marbled Tesla 😍 https://t.co/yob99z3Eov, marbled tesla    ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
132,@CBSNews Holiday giveaway has started https://t.co/4aKJeZ2P6j,  holiday giveaway has started  ,0.0,0.0,positive,0.0,0.526,0.474,0.4019
134,@larryelder @Tesla @SpaceX @elonmusk I bet he never sends a single mission to Mars?,        i bet he never sends a single mission to mars ,-0.07142857142857142,0.21428571428571427,neutral,0.0,1.0,0.0,0.0
135,RT @WholeMarsBlog: Tesla is going to do great. Just look at this thing. https://t.co/XfwtfNqLuY, tesla is going to do great  just look at this thing   ,0.8,0.75,positive,0.0,0.709,0.291,0.6249
136,@TilmanWinkler @SPeitsch @SonoMotors @_tho_ @MineCooky @ppbrb Das Geschäftsmodell Verbrenner stirbt. Porsche so wie… https://t.co/jAZxyzgzqk,        tho      das gesch ftsmodell verbrenner stirbt  porsche so wie   ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
137,"@jeremyjudkins_ Had to replace my M3 windscreen, insurance estimate was 1700 but Tesla charged me 1100 directly. Easiest 600 I’ve ever made",   had to replace my m3 windscreen  insurance estimate was 1700 but tesla charged me 1100 directly  easiest 600 i ve ever made,0.1,0.4,positive,0.088,0.763,0.149,0.3612
138,@Rita_Maestre Es una vergüenza Rita. Cuando tu seas alcaldesa solo vamos a permitir que entren furgonetas de Tesla… https://t.co/1xBEiKsyAq,  maestre es una verg enza rita  cuando tu seas alcaldesa solo vamos a permitir que entren furgonetas de tesla   ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
